ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;PixelsNum;IsDataHided
0;0;0,033539146160577904;0;0;0;0;3511680;False
0,7678571428571429;0,7678571428571429;0,16383652344802035;0;0;0;0;3841600;True
0,5418660287081339;0,5418660287081339;0,4960409141738376;0;0;0;0;4280320;True
1;1;0,8564871079333414;0;0;0;0;2766240;True
0,001474926;0,001474926;0,5410039138867804;0;0;0;0;2766240;True
0;0;0,008165337;0;0;0;0;12000000;False
0;0;0,14526039592332837;0;0;0;0;11745000;False
0;0;0,11171950403752977;0;0;0;0;12289728;True
0;0;0,13367568678465616;51,537644316631955;5943;51,372403506341534;186;12192768;True
0,00075;0,00075;0,017544163;0;0;0;0;12000000;False
0,001498127;0,001498127;0,001151348;0;0;0;0;2670000;False
0;0;0,004996307;61,778238092550765;4096;40,98524013795072;18;2790720;True
0,00136612;0,00136612;0,072236773;0;0;0;0;2986560;False
0;0;0,014610610959756997;0;0;0;0;2962080;False
0,009803922;0,009803922;0,22878739420914154;0;0;0;0;3329280;True
0,002212389;0,002212389;0,015607670844429525;0;0;0;0;2766240;False
0,004901961;0,004901961;0,093513336;0;0;0;0;3133440;False
0;0;0,3015791238224758;0;0;0;0;2374560;True
0,001465201;0,001465201;0,032147908;76,49381060159102;100;42,479369741890764;16920;2795520;True
0,024088541666666668;0,024088541666666668;0,5551740427282736;0;0;0;0;3133440;True
0;0;0,21562652803352422;0;0;0;0;2766240;False
0,039085546;0,039085546;0,028140125334793365;0;0;0;0;2766240;False
0;0;0,6602757391050129;74,16685777808897;6390;78,99370582762873;143;2766240;True
0,0125;0,0125;0,6911280545067017;0;0;0;0;2937600;True
0,005899705;0,005899705;0,2811457024995598;0;0;0;0;2766240;True
0;0;0,046242005;0;0;0;0;2766240;True
0,0078125;0,0078125;0,40409647455147685;0;0;0;0;3133440;True
0,00390625;0,00390625;0,004352645;0;0;0;0;3133440;False
0;0;0,036984841;0;0;0;0;3488400;False
0,00144648;0,00144648;0,001003666;0;0;0;0;3982080;False
0,008112094;0,008112094;0,012322400955346485;0;0;0;0;2766240;False
0;0;0,0772334;0;0;0;0;2839680;False
0,9965686274509804;0,9965686274509804;0,5110261467465973;0;0;0;0;2766240;True
0,001474926;0,001474926;0,050422739;0;0;0;0;2766240;False
0,00390625;0,00390625;0,47380448986787305;0;0;0;0;3133440;True
0;0;0,18145218535465787;69,25661537857302;154;66,34595506;39088;3353760;True
0,003240741;0,003240741;0,007143052;0;0;0;0;3255120;False
0;0;0,10826963371892843;0;0;0;0;2766240;False
